value_set_oid,value_set_name,code,description,code_system,code_system_version,code_system_oid,tty
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,1.05401E+14,Diabetes mellitus due to pancreatic injury (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,1.06281E+14,Pre-existing diabetes mellitus in mother complicating childbirth (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,1.07549E+16,Diabetes mellitus in mother complicating childbirth (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,111307005,Leprechaunism syndrome (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,111552007,Diabetes mellitus without complication (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,123763000,Houssay's syndrome (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,127012008,Lipoatrophic diabetes (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,1.481E+12,Diabetes mellitus type 2 without retinopathy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190330002,Type 1 diabetes mellitus with hyperosmolar coma (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190331003,Type 2 diabetes mellitus with hyperosmolar coma (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190368000,Type I diabetes mellitus with ulcer (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190372001,Type I diabetes mellitus maturity onset (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190389009,Type II diabetes mellitus with ulcer (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190406000,Malnutrition-related diabetes mellitus with ketoacidosis (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190411003,Malnutrition-related diabetes mellitus with multiple complications (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,190412005,Malnutrition-related diabetes mellitus without complications (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199223000,"Diabetes mellitus during pregnancy, childbirth and the puerperium (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199225007,Diabetes mellitus during pregnancy - baby delivered (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199226008,Diabetes mellitus in the puerperium - baby delivered during current episode of care (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
